,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
10030,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,181.70199,181.7 [106.91 - 275.6]
10031,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1999,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,218.28777,218.29 [102.42 - 362.09]
10032,MORT_200,Deaths per 1 000 live births,2013,AGEGROUP,AGEGROUP_YEARS0-4,3.56824,3.6
10034,MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2017,,,306768.0,306 768
10035,MORT_100,Number of deaths,2012,SEX,SEX_BTSX,40310.0644,40310.0644
10036,CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2008,SEX,SEX_BTSX,10.14489,10.1 [9.7-10.7]
10037,PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),1991,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,12.0,12 [4.4-23.5]
10038,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,530.60362,530.6 [419.84 - 631.54]
10039,GDO_q8x3_5,"Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",2017,,,0.0,Capital and main cities only
10040,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2003,SEX,SEX_FMLE,3.16025,3.2 [2.9-3.5]
10041,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2008,SEX,SEX_MLE,1181675.0,1181675 [980521-1417765]
10042,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2006,SEX,SEX_FMLE,54124.0,54 124 [46 211-62 625]
10043,NCD_CCS_AlcPlan,Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol,2021,,,0.0,Yes
10044,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2016,SEX,SEX_FMLE,6.6305,6.6 [6.0-7.3]
10045,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),1980,SEX,SEX_BTSX,3.1,3.1 [1.5-5.6]
10046,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1982,SEX,SEX_BTSX,159.05082,159.1 [153.0-165.0]
10047,TB_new_clindx,"New or unknown treatment history cases: Pulmonary, clinically diagnosed",2019,,,705807.0,705 807
10048,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2006,SEX,SEX_BTSX,1856119.0,1856119 [1504380-2270187]
10049,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2002,,,320.0,320 [110-638]
10050,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1999,SEX,SEX_FMLE,3.6,3.6 [3.1-4.2]
10051,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2017,SEX,SEX_FMLE,150206.6,150207 [113901-193269]
10052,MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,AGEGROUP,AGEGROUP_MONTHS1-59,0.07898,0.1
10053,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1999,SEX,SEX_BTSX,0.23702,0.2 [0.2-0.3]
10054,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,2023,,,61000.0,61 000 [49 000 - 76 000]
10056,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,393.71796,393.72 [346.92 - 425.22]
10057,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2020,SEX,SEX_BTSX,29.20263,29.2 [26.8 - 31.8]
10058,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),2006,SEX,SEX_BTSX,56.45951,56.5 [55.9-57.2]
10059,M_Est_smk_curr_std,Estimate of current tobacco smoking prevalence (%) (age-standardized rate),2021,SEX,SEX_MLE,13.9,13.9 [11.0-16.7]
10060,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2004,SEX,SEX_FMLE,0.64074,0.6 [0.5-0.8]
10061,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,29.5,29.5 [29.1-29.9]
10062,P6_restaurants,National smoking ban in RESTAURANTS,2012,,,0.0,No
10063,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2020,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,7.1,7.1 [6.5-7.6]
10064,MORT_100,Number of deaths,2019,SEX,SEX_BTSX,207305.779,207305.779
10065,CM_02,Number of infant deaths,1968,SEX,SEX_FMLE,1387604.0,1 387 604 [1 305 321-1 470 035]
10066,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2015,SEX,SEX_FMLE,42.7,42.7 [41.4-43.9]
10067,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1989,SEX,SEX_BTSX,20.3,20.3
10068,NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2018,SEVERITY,SEVERITY_SEVERE,8110.0,8110 [4630-12700]
10069,W25_quitline_number_A,The quit line number must appear on cigarette packaging or labelling,2022,,,0.0,Yes
10070,AIR_11,Household air pollution attributable deaths,2019,SEX,SEX_FMLE,62595.48047,62 595 [35 363-90 480]
10071,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2002,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,1.7,1.7 [0.5 - 3.9]
10072,PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2001,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,47.5,47.5 [36 - 59.3]
10073,FINPROTECTION_IMP_P215_POP,"Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)",2006,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,30.8,30.8
10074,W25_quitline_number_A,The quit line number must appear on cigarette packaging or labelling,2018,,,0.0,Yes
10075,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",1998,SEX,SEX_FMLE,35.74816,35.7 [33.9-37.6]
10076,AIR_17,Household air pollution attributable DALYs (per 100 000 population),2019,SEX,SEX_MLE,654.12041,654 [332-1 025]
10077,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,AGEGROUP,AGEGROUP_MONTHS1-59,0.07458,0.1
10078,MORT_200,Deaths per 1 000 live births,2014,AGEGROUP,AGEGROUP_YEARS0-4,1.48692,1.5
10079,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,AGEGROUP,AGEGROUP_MONTHS1-59,0.04245,0
10080,GDO_q4x2_3,Existence of standards/ guidelines/ protocols for management of dementia,2017,,,0.0,Not applicable
10081,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,AGEGROUP,AGEGROUP_DAYS0-27,0.0,0
10082,MORT_100,Number of deaths,2013,SEX,SEX_BTSX,96462.81516,96462.81516
10083,SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",2023,SEX,SEX_BTSX,4.66437,4.7 [2.4 - 6.9]
10084,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1993,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.0,0 [0 - 8.32]
10085,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),1996,SEX,SEX_FMLE,5.5,5.5 [3.7-7.9]
10086,NTCP_govt_obj,Government objectives on tobacco control exist,2010,,,0.0,Yes
10087,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2007,SEX,SEX_FMLE,17.33061,17.3 [15.6 - 19.3]
10088,TB_c_new_tsr,Treatment success rate: new TB cases,2020,,,85.0,85
10089,P14_funds_for_enforce,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT,2018,,,0.0,Yes
10090,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2012,SEX,SEX_BTSX,1.38786,1.4 [1.2-1.6]
10091,TB_ret_nrel,"Previously treated  cases, excluding relapse",2022,,,146383.0,146383
10092,M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),2010,SEX,SEX_FMLE,1.3,1.3 [1.0-1.6]
10093,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1977,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,0.0,0
10094,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,29.4,29.4
10095,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.98918,0.99 [0 - 5.44]
10096,W1_HW_law_A,Law mandates that health warnings appear on tobacco packages,2012,,,0.0,Yes
10097,WHS3_46,Total tetanus - number of reported cases,2005,,,2981.0,2981
10098,RS_208,Attribution of road traffic deaths to alcohol (%),2017,,,0.0,4.1
10099,E_compl_e11,Compliance with ban on use of brand name of non-tobacco product for tobacco product (score),2022,,,1.0,1
10100,TB_c_new_tsr,Treatment success rate: new TB cases,1996,,,21.0,21
10101,PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),1999,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,93.7,93.7 [87.5 - 97.8]
10102,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2001,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.29914,0.3 [0 - 3.59]
10103,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2017,SEX,SEX_FMLE,80415.0,80 415 [73 230-87 801]
10104,GDO_q15x1,Inclusion of dementia training and education for non-health workers,2017,,,0.0,Yes
10106,TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2007,,,65.0,65
10107,GHED_OOPSCHE_SHA2011,Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),2019,,,52.0,52.00
10108,MORT_100,Number of deaths,2015,SEX,SEX_BTSX,13054.46049,13054.46049
10109,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2009,SEX,SEX_BTSX,1.0,1.0 [1.0-1.1]
10110,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2000,SEX,SEX_FMLE,253931.8,253932 [199495-322992]
10111,RSUD_860,System of monitoring drugs involvement in forensic pathology,2014,RSUDMONITORING,RSUDMONITORING_FORENSIC_EXAMS,0.0,No
10112,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,146.84054,146.84 [112.17 - 180.35]
10113,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1999,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,0.03,0.03
10114,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2018,SEX,SEX_FMLE,1.0,1.0 [0.9-1.1]
10115,W10_graphic_A,Do the health warnings on cigarette packaging include a photograph or graphic?,2007,,,0.0,Yes
10116,NCD_PAC_ADO,Insufficiently active (crude estimate),2016,SEX,SEX_FMLE,76.32437,76.3 [69.4-82.1]
10117,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_SECONDARY,3.4,3.4 [3.3-3.6]
10119,GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),2020,,,3.34,3.34
10120,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2016,SEX,SEX_MLE,34.43174,34.4 [32.4-36.5]
10121,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2019,SEX,SEX_MLE,13.78115,14 [7-21]
10122,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2013,SEX,SEX_MLE,5.54517,5.55 [4.99-6.09]
10123,Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,2014,,,0.0,Yes
10124,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),1998,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,149.44568,149.45 [117.07 - 180.72]
10125,PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2003,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,137.71459,137.71 [100.36 - 176.34]
10126,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2019,SEX,SEX_FMLE,8.08099,8.1 [7.3-8.9]
10127,MDG_0000000003,Adolescent birth rate (per 1000 women),2012,SEX,SEX_FMLE,1.29,1.3
10128,SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2014,SEX,SEX_MLE,9.11441,9.1 [8.1 - 10.2]
10129,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS24-29,1.0,1.0 [0.7-1.5]
10130,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2009,SEX,SEX_FMLE,1.15095,1.2 [0.9-1.4]
10131,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,27.4,27.4 [27.1-27.8]
10132,WHOSIS_000015,Life expectancy at age 60 (years),2005,SEX,SEX_FMLE,18.87616,18.9 [18.7-19.1]
10133,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2019,SEX,SEX_BTSX,12.70163,13 [7-19]
10134,MORT_200,Deaths per 1 000 live births,2000,AGEGROUP,AGEGROUP_YEARS0-4,15.87344,15.9
10135,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,AGEGROUP,AGEGROUP_YEARS0-4,0.06942,0.1
10136,TB_c_new_tsr,Treatment success rate: new TB cases,1999,,,21.0,21
10137,P11_fines_any,National smoking ban: FINES FOR VIOLATIONS,2016,,,0.0,Yes
10138,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2014,SEX,SEX_BTSX,30.95256,31.0 [28.4 - 33.8]
10139,MORT_100,Number of deaths,2008,SEX,SEX_BTSX,374028.71995,374028.71995
10140,CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),1999,SEX,SEX_MLE,14.78257,14.8 [13.9-15.7]
10143,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2006,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,0.09426,0.1
10144,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,WEALTHDECILE,WEALTHDECILE_TOTL,36.3,36.3 [36.0-36.6]
10145,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2010,SEX,SEX_BTSX,58.4592,58.5 [51.8-64.4]
10146,GHED_OOPSCHE_SHA2011,Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),2016,,,63.21,63.21
10147,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",1992,WEALTHTERCILE,WEALTHTERCILE_TOTL,6.9,6.9
10148,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1996,SEX,SEX_MLE,6.93644,6.9 [6.2-7.7]
10150,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1991,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,12.19386,12.19 [1.98 - 37.57]
10151,NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2002,SEVERITY,SEVERITY_TOTAL,67.3,67.3 [59.2-73.5]
10152,MORT_100,Number of deaths,2011,SEX,SEX_BTSX,84505.19647,84505.19647
10153,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),1984,SEX,SEX_FMLE,5.0881,5.09 [4.33-5.84]
10154,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2010,SEX,SEX_BTSX,668729.8,668730 [549192-815142]
10155,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2018,SEX,SEX_FMLE,7.66578,7.7 [7.0-8.4]
10156,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS48-53,3.3,3.3 [2.7-4.0]
10157,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1998,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,61.43878,61.44 [39.3 - 88.01]
10158,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS18-23,7.8,7.8 [6.7-9.1]
10159,CM_02,Number of infant deaths,1996,SEX,SEX_FMLE,982062.0,982 062 [945 432-1 020 866]
10160,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.0,0 [0 - 5.22]
10161,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1994,SEX,SEX_MLE,78.44567,78.4 [75.5-81.6]
10162,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2019,SEX,SEX_MLE,2.94084,2.9 [2.4-3.5]
10163,SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",2019,SEX,SEX_MLE,40.92136,40.9 [38.0 - 44.2]
10164,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,SEX,SEX_MLE,1.7,1.7 [1.5-1.9]
10165,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,SEX,SEX_MLE,6.0,6.0 [5.4-6.6]
10166,SDGPM25,Concentrations of fine particulate matter (PM2.5),2010,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,55.16824,55.17 [49.73-59.82]
10167,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS36-59,46.1,46.1 [45.0-47.2]
10168,W18_misleading_terms_A,Ban on deceitful terms on cigarette packaging,2010,,,0.0,Yes
10169,SA_0000001457,"Liver cirrhosis, age-standardized death rates (15+), per 100,000 population",2019,SEX,SEX_MLE,41.74967,41.7
10170,NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2019,SEX,SEX_BTSX,53.88323,53.9 [45.1-61.4]
10171,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,20.8,20.8 [20.5-21.1]
10172,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.0,0 [0 - 0.7]
10173,SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2006,SEX,SEX_FMLE,76.15486,76.2 [73.7 - 78.3]
10174,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1979,SEX,SEX_MLE,168.9475,168.9 [162.2-176.0]
10175,MORT_100,Number of deaths,2006,SEX,SEX_BTSX,66644.49524,66644.49524
10176,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,AGEGROUP,AGEGROUP_DAYS0-27,0.09839,0.1
10177,M_Est_tob_curr,Estimate of current tobacco use prevalence (%),2025,SEX,SEX_FMLE,8.9,8.9 [6.7-11.0]
10178,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,AGEGROUP,AGEGROUP_DAYS0-27,0.06506,0.1
10179,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2013,SEX,SEX_FMLE,2.36314,2.4 [2.0-2.8]
10180,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,SEX,SEX_FMLE,11.1132,11.1 [8.6-14.2]
10181,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),2012,SEX,SEX_BTSX,8.6,8.6 [6.2-11.3]
10182,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2004,SEX,SEX_BTSX,13.67708,13.7 [13.1-14.3]
10184,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,SEX,SEX_MLE,24.6,24.6 [24.0-25.2]
10185,RSUD_610,Prevention programmes for specific populations for drugs,2014,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_PREGNANT_WOMEN,0.0,Yes
10186,GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$,2002,,,0.49,0.49
10187,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1997,SEX,SEX_FMLE,165225.0,165 225 [152 800-178 262]
10188,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS24-59,46.1,46.1 [45.1-47.1]
10189,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,793.47439,793.47 [526.62 - 1026.37]
10190,WHOSIS_000015,Life expectancy at age 60 (years),2013,SEX,SEX_FMLE,19.05528,19.1 [18.9-19.2]
10191,RSUD_220,Voluntary treatment for people with drug use disorders in the criminal justice system,2014,RSUDTREATMENT,RSUDTREATMENT_RSUDTREATMENT_ADDITION,0.0,Yes
10192,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2006,WEALTHDECILE,WEALTHDECILE_TOTL,43.5,43.5 [42.7-44.3]
10193,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1997,SEX,SEX_BTSX,18.4,18.4
10194,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2000,SEX,SEX_MLE,1.875,1.9 [1.5-2.3]
10195,NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",1981,SEX,SEX_MLE,4.4,4.4 [3.8-5.0]
10196,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2016,SEX,SEX_MLE,424508.6,424509 [346755-519621]
10197,MORT_100,Number of deaths,2020,SEX,SEX_BTSX,5280.55457,5280.55457
10198,MORT_200,Deaths per 1 000 live births,2001,AGEGROUP,AGEGROUP_DAYS0-27,2.85975,2.9
10199,WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),2000,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,27.8203,28
10200,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,84.32148,84
10201,NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2014,SEVERITY,SEVERITY_MODERATE,81300.0,81300 [62600-99900]
10202,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2003,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,24.37661,24.38 [5.54 - 62.05]
10203,W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,2022,,,0.0,No
10204,MORT_200,Deaths per 1 000 live births,2008,AGEGROUP,AGEGROUP_MONTHS1-59,1.17762,1.2
10205,NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2013,SEVERITY,SEVERITY_TOTAL,8020.0,8020 [7290-8520]
10206,NCD_CCS_AlcPlan,Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol,2017,,,0.0,Yes
10208,GDO_q8x5_4,Estimated number of people receiving activities of daily living support services in community for dementia,2017,,,0.0,Not available
10209,WHOSIS_000014,Stillbirth rate (per 1000 total births),2017,SEX,SEX_BTSX,14.92097,14.92 [13-17.11]
10210,MORT_200,Deaths per 1 000 live births,2009,AGEGROUP,AGEGROUP_YEARS0-4,1.967,2
10211,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2020,SEX,SEX_BTSX,27.22218,27.2 [26.0-28.4]
10212,GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),2012,,,3.33,3.33
10213,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2014,SEX,SEX_FMLE,6.12861,6.1 [5.7-6.6]
10214,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),2001,SEX,SEX_MLE,0.65414,0.7 [0.3-0.9]
10215,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2007,SEX,SEX_FMLE,13.2537,13.3 [12.7-13.8]
10216,FINPROTECTION_IMP_NP215_POP,"Population pushed below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)",2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,5.46,5.46
10217,P3_universities,National smoking ban in UNIVERSITIES,2007,,,0.0,Yes
10218,W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,2008,,,0.0,No
